Fecha,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN DE OCAMPO,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATÁN,ZACATECAS
2020-01-13,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
2020-02-19,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2020-02-22,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-23,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
2020-02-27,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
2020-02-28,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2020-03-01,,1.0,,,,,3.0,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,
2020-03-02,,,,,,,4.0,,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,
2020-03-03,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,
2020-03-04,,,,,,,4.0,1.0,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,
2020-03-05,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,
2020-03-06,,,,,,,6.0,,,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,
2020-03-07,1.0,,,,,,9.0,,,,,,,1.0,,,5.0,,2.0,,,,,1.0,,,,,,,1.0,
2020-03-08,,,,1.0,,,5.0,,,,,1.0,1.0,3.0,,,3.0,,,,2.0,1.0,1.0,,,,,,,,3.0,
2020-03-09,,1.0,1.0,1.0,,,20.0,,,1.0,,1.0,,3.0,1.0,1.0,11.0,,9.0,1.0,5.0,1.0,1.0,1.0,1.0,,3.0,,,,1.0,1.0
2020-03-10,1.0,,,,,1.0,22.0,1.0,,,1.0,,,4.0,,1.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,,,,2.0,,,,3.0,
2020-03-11,,2.0,,,,,21.0,,,1.0,,1.0,1.0,6.0,,,5.0,,5.0,,2.0,1.0,3.0,1.0,,2.0,,,,,3.0,
2020-03-12,1.0,2.0,,1.0,,2.0,34.0,,1.0,,2.0,1.0,,8.0,,,17.0,,2.0,2.0,3.0,,1.0,1.0,1.0,2.0,,,,4.0,1.0,1.0
2020-03-13,,4.0,1.0,,1.0,1.0,41.0,1.0,,,,1.0,1.0,9.0,,,17.0,,6.0,,5.0,1.0,3.0,,,1.0,2.0,1.0,,,5.0,
2020-03-14,1.0,3.0,,,1.0,,38.0,,,,3.0,,2.0,8.0,,1.0,14.0,,8.0,,4.0,1.0,4.0,1.0,2.0,,2.0,2.0,,4.0,3.0,
2020-03-15,1.0,3.0,,,,1.0,41.0,,1.0,1.0,3.0,3.0,1.0,2.0,8.0,,14.0,1.0,7.0,,4.0,1.0,6.0,4.0,2.0,1.0,1.0,,,3.0,1.0,
2020-03-16,2.0,5.0,3.0,,,1.0,48.0,2.0,,,11.0,1.0,,6.0,1.0,1.0,18.0,,3.0,1.0,12.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0
2020-03-17,2.0,5.0,1.0,,,1.0,43.0,3.0,,,4.0,3.0,1.0,12.0,2.0,1.0,25.0,1.0,8.0,,6.0,4.0,3.0,1.0,2.0,5.0,2.0,,,2.0,7.0,1.0
2020-03-18,4.0,11.0,1.0,,,3.0,39.0,4.0,,2.0,2.0,2.0,2.0,8.0,4.0,1.0,21.0,,6.0,,7.0,2.0,7.0,4.0,2.0,1.0,6.0,,,4.0,5.0,1.0
2020-03-19,2.0,10.0,,,,2.0,45.0,2.0,,1.0,1.0,2.0,2.0,,,1.0,22.0,1.0,5.0,2.0,3.0,,5.0,2.0,4.0,2.0,8.0,,,2.0,9.0,3.0
2020-03-20,3.0,15.0,1.0,1.0,2.0,4.0,74.0,5.0,,,7.0,4.0,4.0,8.0,1.0,2.0,31.0,,5.0,3.0,10.0,3.0,8.0,1.0,10.0,2.0,5.0,3.0,,7.0,3.0,
2020-03-21,,6.0,4.0,,2.0,3.0,31.0,6.0,,,4.0,3.0,1.0,10.0,,2.0,28.0,1.0,3.0,1.0,11.0,2.0,9.0,2.0,6.0,,5.0,2.0,,2.0,5.0,2.0
2020-03-22,5.0,6.0,5.0,,3.0,1.0,43.0,3.0,,,5.0,1.0,,6.0,4.0,2.0,34.0,,4.0,1.0,11.0,2.0,6.0,3.0,8.0,5.0,4.0,2.0,1.0,1.0,5.0,2.0
2020-03-23,9.0,18.0,5.0,2.0,4.0,2.0,65.0,10.0,,2.0,2.0,3.0,6.0,6.0,4.0,4.0,38.0,,2.0,4.0,16.0,4.0,11.0,,16.0,2.0,7.0,1.0,1.0,5.0,3.0,
2020-03-24,5.0,20.0,2.0,,1.0,4.0,54.0,7.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,37.0,2.0,1.0,1.0,7.0,,7.0,6.0,14.0,4.0,7.0,1.0,2.0,1.0,3.0,
